prdtypecode,text,clean_text,codes
10,"olivia,personalisiertes,notizbuch,seiten,punktraster,din,rosen,design,","['olivia', 'personalisiertes', 'notizbuch', 'seiten', 'punktraster', 'din', 'rosen', 'design']",0
2280,"journal,arts,art,marche,salon,art,asiatique,paris,jacques,barrere,francois,perrier,reforme,ventes,encheres,publiques,sna,fete,cent,ans,","['journal', 'arts', 'art', 'marche', 'salon', 'art', 'asiatique', 'paris', 'jacques', 'barrere', 'francois', 'perrier', 'reforme', 'ventes', 'encheres', 'publiques', 'sna', 'fete', 'cent', 'ans']",18
50,"grand,stylet,ergonomique,bleu,gamepad,nintendo,wii,speedlink,pilot,style,pilot,style,touch,pen,marque,speedlink,stylet,ergonomique,gamepad,nintendo,wii,confort,optimal,précision,maximale,gamepad,wii,grand,stylet,hautement,ergonomique,non,seulement,parfaitement,adapté,main,aussi,élégant,livré,support,fixe,sans,adhésif,arri,gamepad,caractéristiques,mod,speedlink,pilot,style,touch,pen,couleur,bleu,ref,fabricant,compatibilité,gamepad,nintendo,wii,forme,particuli,rement,ergonomique,excellente,tenue,main,pointe,rev,tement,longue,durée,con,mer,écran,tactile,bonus,support,inclu,gamepad,span,class,vga,style","['grand', 'stylet', 'ergonomique', 'bleu', 'gamepad', 'nintendo', 'wii', 'speedlink', 'pilot', 'style', 'pilot', 'style', 'touch', 'pen', 'marque', 'speedlink', 'stylet', 'ergonomique', 'gamepad', 'nintendo', 'wii', 'confort', 'optimal', 'précision', 'maximale', 'gamepad', 'wii', 'grand', 'stylet', 'hautement', 'ergonomique', 'non', 'seulement', 'parfaitement', 'adapté', 'main', 'aussi', 'élégant', 'livré', 'support', 'fixe', 'sans', 'adhésif', 'arri', 'gamepad', 'caractéristiques', 'mod', 'speedlink', 'pilot', 'style', 'touch', 'pen', 'couleur', 'bleu', 'ref', 'fabricant', 'compatibilité', 'gamepad', 'nintendo', 'wii', 'forme', 'particuli', 'rement', 'ergonomique', 'excellente', 'tenue', 'main', 'pointe', 'rev', 'tement', 'longue', 'durée', 'con', 'mer', 'écran', 'tactile', 'bonus', 'support', 'inclu', 'gamepad', 'span', 'class', 'vga', 'style']",2
1280,"peluche,donald,europe,disneyland,marionnette,doigt,","['peluche', 'donald', 'europe', 'disneyland', 'marionnette', 'doigt']",7
2705,"guerre,tuques,luc,eacute,grandeur,veut,organiser,jeu,guerre,boules,neige,arranger,ecirc,tre,vainqueur,incontest,eacute,sophie,ecirc,chambarde,tous,plans","['guerre', 'tuques', 'luc', 'eacute', 'grandeur', 'veut', 'organiser', 'jeu', 'guerre', 'boules', 'neige', 'arranger', 'ecirc', 'tre', 'vainqueur', 'incontest', 'eacute', 'sophie', 'ecirc', 'chambarde', 'tous', 'plans']",25
2280,"afrique,contemporaine,hiver,dossier,japon,afrique,","['afrique', 'contemporaine', 'hiver', 'dossier', 'japon', 'afrique']",18
10,"christof,bildungsprozessen,auf,der,spur,","['christof', 'bildungsprozessen', 'auf', 'der', 'spur']",0
2522,"conquérant,sept,cahier,couverture,polypro,pages,sey,incolore,conquerant,classique,cahier,sey,incolorecouverture,polypro,pages,agrafé,papier","['conquérant', 'sept', 'cahier', 'couverture', 'polypro', 'pages', 'sey', 'incolore', 'conquerant', 'classique', 'cahier', 'sey', 'incolorecouverture', 'polypro', 'pages', 'agrafé', 'papier']",21
1280,"puzzle,scooby,doo,poster,pieces,","['puzzle', 'scooby', 'doo', 'poster', 'pieces']",7
2582,"tente,pliante,pro,pvc,blanc,longueur,largeur,blanc,tente,pliante,pro,pvc,particulier,jardin,professionnel,stand,commercial,réceptions,barnum,pro,combler,imaginez,stand,robuste,léger,adaptable,chacun,pliable,peu,encombrant,déploiement,ultra,rapide,réglage,hauteur,font,maintenant,via,poignées,indexage,également,enti,rement,repensé,jonction,coulissants,plus,rigides,lég,res,elles,aussi,maintenant,plus,résistantes,tente,pliante,pro,qualité,professionnelle,fabrication,fran,aise,compl,tement,adaptable,deviendra,outil,indispensable,activité,toujours,vue,améliorer,quotidien,cette,version,veut,encore,plus,résistante,temps,traitement,ignifugé,répond,exigences,sécurité,vigueur,certifié,facilité,entretien,fait,allié,toutes,occasions,produit,base,composé,structure,toit,che,pvc,housse,apr,configurer,ades,comme,souhaitez,avantages,facile,monter,traitement,anti,feu,ades,choix,caractéristiques,coloris,blanc,pvc,blanc,ignifugé,indexation,via,poignées,blocage,stand,sans,effort,hauteurs,réglables,via,indexeurs,croisillons,renfort,interne,renforts,externes,inox,embases,fonte,aluminium,anneaux,haubanage,structure,aluminium,visserie,inox,jonctions,renforcées,polypropyl,fibre,verre,fils,haute,ténacité,hydrofuges,pied,coulissant,syst,guidage,intégré,pieds,hexagonaux,aluminium,épaisseur,renforts,toit,pvc,finition,toit,intégrant,biais,sergé,auto,agrippant,maintien,toit,auto,agrippants,encombrement,refermé,inférieur,dimensions,hauteur,tage,hauteur,sous,bandeau,dimensions,repliées","['tente', 'pliante', 'pro', 'pvc', 'blanc', 'longueur', 'largeur', 'blanc', 'tente', 'pliante', 'pro', 'pvc', 'particulier', 'jardin', 'professionnel', 'stand', 'commercial', 'réceptions', 'barnum', 'pro', 'combler', 'imaginez', 'stand', 'robuste', 'léger', 'adaptable', 'chacun', 'pliable', 'peu', 'encombrant', 'déploiement', 'ultra', 'rapide', 'réglage', 'hauteur', 'font', 'maintenant', 'via', 'poignées', 'indexage', 'également', 'enti', 'rement', 'repensé', 'jonction', 'coulissants', 'plus', 'rigides', 'lég', 'res', 'elles', 'aussi', 'maintenant', 'plus', 'résistantes', 'tente', 'pliante', 'pro', 'qualité', 'professionnelle', 'fabrication', 'fran', 'aise', 'compl', 'tement', 'adaptable', 'deviendra', 'outil', 'indispensable', 'activité', 'toujours', 'vue', 'améliorer', 'quotidien', 'cette', 'version', 'veut', 'encore', 'plus', 'résistante', 'temps', 'traitement', 'ignifugé', 'répond', 'exigences', 'sécurité', 'vigueur', 'certifié', 'facilité', 'entretien', 'fait', 'allié', 'toutes', 'occasions', 'produit', 'base', 'composé', 'structure', 'toit', 'che', 'pvc', 'housse', 'apr', 'configurer', 'ades', 'comme', 'souhaitez', 'avantages', 'facile', 'monter', 'traitement', 'anti', 'feu', 'ades', 'choix', 'caractéristiques', 'coloris', 'blanc', 'pvc', 'blanc', 'ignifugé', 'indexation', 'via', 'poignées', 'blocage', 'stand', 'sans', 'effort', 'hauteurs', 'réglables', 'via', 'indexeurs', 'croisillons', 'renfort', 'interne', 'renforts', 'externes', 'inox', 'embases', 'fonte', 'aluminium', 'anneaux', 'haubanage', 'structure', 'aluminium', 'visserie', 'inox', 'jonctions', 'renforcées', 'polypropyl', 'fibre', 'verre', 'fils', 'haute', 'ténacité', 'hydrofuges', 'pied', 'coulissant', 'syst', 'guidage', 'intégré', 'pieds', 'hexagonaux', 'aluminium', 'épaisseur', 'renforts', 'toit', 'pvc', 'finition', 'toit', 'intégrant', 'biais', 'sergé', 'auto', 'agrippant', 'maintien', 'toit', 'auto', 'agrippants', 'encombrement', 'refermé', 'inférieur', 'dimensions', 'hauteur', 'tage', 'hauteur', 'sous', 'bandeau', 'dimensions', 'repliées']",22
